VerbForm=Abs	abs.
VerbForm=Abs	ca. abs.
VerbForm=Abs	des. abs.
VerbForm=Abs	int. abs.
VerbForm=Inf	inf.
VerbForm=Inf	ca. inf.
VerbForm=Inf	des. inf.
VerbForm=Inf	int. inf.
Case=Cpd	iic.
Case=Nom|Number=1|Gender=	* sg. nom.
Case=Nom|Number=2|Gender=	* du. nom.
Case=Nom|Number=3|Gender=	* pl. nom.
Case=Voc|Number=1|Gender=	* sg. voc.
Case=Voc|Number=2|Gender=	* du. voc.
Case=Voc|Number=3|Gender=	* pl. voc.
Case=Acc|Number=1|Gender=	* sg. acc.
Case=Acc|Number=2|Gender=	* du. acc.
Case=Acc|Number=3|Gender=	* pl. acc.
Case=Ins|Number=1|Gender=	* sg. i.
Case=Ins|Number=2|Gender=	* du. i.
Case=Ins|Number=3|Gender=	* pl. i.
Case=Dat|Number=1|Gender=	* sg. dat.
Case=Dat|Number=2|Gender=	* du. dat.
Case=Dat|Number=3|Gender=	* pl. dat.
Case=Abl|Number=1|Gender=	* sg. abl.
Case=Abl|Number=2|Gender=	* du. abl.
Case=Abl|Number=3|Gender=	* pl. abl.
Case=Gen|Number=1|Gender=	* sg. g.
Case=Gen|Number=2|Gender=	* du. g.
Case=Gen|Number=3|Gender=	* pl. g.
Case=Loc|Number=1|Gender=	* sg. loc.
Case=Loc|Number=2|Gender=	* du. loc.
Case=Loc|Number=3|Gender=	* pl. loc.
Case=Nom|Number=1|Gender=Masc	m. sg. nom.
Case=Nom|Number=2|Gender=Masc	m. du. nom.
Case=Nom|Number=3|Gender=Masc	m. pl. nom.
Case=Voc|Number=1|Gender=Masc	m. sg. voc.
Case=Voc|Number=2|Gender=Masc	m. du. voc.
Case=Voc|Number=3|Gender=Masc	m. pl. voc.
Case=Acc|Number=1|Gender=Masc	m. sg. acc.
Case=Acc|Number=2|Gender=Masc	m. du. acc.
Case=Acc|Number=3|Gender=Masc	m. pl. acc.
Case=Ins|Number=1|Gender=Masc	m. sg. i.
Case=Ins|Number=2|Gender=Masc	m. du. i.
Case=Ins|Number=3|Gender=Masc	m. pl. i.
Case=Dat|Number=1|Gender=Masc	m. sg. dat.
Case=Dat|Number=2|Gender=Masc	m. du. dat.
Case=Dat|Number=3|Gender=Masc	m. pl. dat.
Case=Abl|Number=1|Gender=Masc	m. sg. abl.
Case=Abl|Number=2|Gender=Masc	m. du. abl.
Case=Abl|Number=3|Gender=Masc	m. pl. abl.
Case=Gen|Number=1|Gender=Masc	m. sg. g.
Case=Gen|Number=2|Gender=Masc	m. du. g.
Case=Gen|Number=3|Gender=Masc	m. pl. g.
Case=Loc|Number=1|Gender=Masc	m. sg. loc.
Case=Loc|Number=2|Gender=Masc	m. du. loc.
Case=Loc|Number=3|Gender=Masc	m. pl. loc.
Case=Nom|Number=1|Gender=Fem	f. sg. nom.
Case=Nom|Number=2|Gender=Fem	f. du. nom.
Case=Nom|Number=3|Gender=Fem	f. pl. nom.
Case=Voc|Number=1|Gender=Fem	f. sg. voc.
Case=Voc|Number=2|Gender=Fem	f. du. voc.
Case=Voc|Number=3|Gender=Fem	f. pl. voc.
Case=Acc|Number=1|Gender=Fem	f. sg. acc.
Case=Acc|Number=2|Gender=Fem	f. du. acc.
Case=Acc|Number=3|Gender=Fem	f. pl. acc.
Case=Ins|Number=1|Gender=Fem	f. sg. i.
Case=Ins|Number=2|Gender=Fem	f. du. i.
Case=Ins|Number=3|Gender=Fem	f. pl. i.
Case=Dat|Number=1|Gender=Fem	f. sg. dat.
Case=Dat|Number=2|Gender=Fem	f. du. dat.
Case=Dat|Number=3|Gender=Fem	f. pl. dat.
Case=Abl|Number=1|Gender=Fem	f. sg. abl.
Case=Abl|Number=2|Gender=Fem	f. du. abl.
Case=Abl|Number=3|Gender=Fem	f. pl. abl.
Case=Gen|Number=1|Gender=Fem	f. sg. g.
Case=Gen|Number=2|Gender=Fem	f. du. g.
Case=Gen|Number=3|Gender=Fem	f. pl. g.
Case=Loc|Number=1|Gender=Fem	f. sg. loc.
Case=Loc|Number=2|Gender=Fem	f. du. loc.
Case=Loc|Number=3|Gender=Fem	f. pl. loc.
Case=Nom|Number=1|Gender=Neut	n. sg. nom.
Case=Nom|Number=2|Gender=Neut	n. du. nom.
Case=Nom|Number=3|Gender=Neut	n. pl. nom.
Case=Voc|Number=1|Gender=Neut	n. sg. voc.
Case=Voc|Number=2|Gender=Neut	n. du. voc.
Case=Voc|Number=3|Gender=Neut	n. pl. voc.
Case=Acc|Number=1|Gender=Neut	n. sg. acc.
Case=Acc|Number=2|Gender=Neut	n. du. acc.
Case=Acc|Number=3|Gender=Neut	n. pl. acc.
Case=Ins|Number=1|Gender=Neut	n. sg. i.
Case=Ins|Number=2|Gender=Neut	n. du. i.
Case=Ins|Number=3|Gender=Neut	n. pl. i.
Case=Dat|Number=1|Gender=Neut	n. sg. dat.
Case=Dat|Number=2|Gender=Neut	n. du. dat.
Case=Dat|Number=3|Gender=Neut	n. pl. dat.
Case=Abl|Number=1|Gender=Neut	n. sg. abl.
Case=Abl|Number=2|Gender=Neut	n. du. abl.
Case=Abl|Number=3|Gender=Neut	n. pl. abl.
